kamar;bangunan;lahan;harga
5;195;130;3350000000
4;265;148;2800000000
4;300;200;3200000000
4;250;222;4000000000
4;250;222;4000000000
4;125;162;2100000000
2;120;176;1449900000
4;350;270;2950000000
3;90;147;1500000000
2;50;71;575000000
2;120;246;900000000
4;200;118;1600000000
4;112;98;1300000000
3;61;72;475000000
3;232;198;2800000000
4;90;108;1550000000
3;150;180;2500000000
4;150;150;2450000000
2;60;100;790000000
3;150;175;2975000000
3;170;111;2800000000
3;250;165;2500000000
3;150;108;850000000
3;50;72;497000000
7;600;586;32000000000
4;370;293;4150000000
7;580;387;6250000000
2;39;54;364000000
2;85;90;650000000
2;36;60;430000000
2;50;61;517000000
6;1000;798;7000000000
3;102;78;775000000
3;126;90;1700000000
2;45;105;600000000
2;216;108;1100000000
4;144;176;1500000000
47;1850;970;17000000000
3;126;90;1700000000
3;225;76;2500000000
5;205;306;3000000000
2;50;84;525000000
2;70;120;695000000
2;0;0;875000000
3;85;100;625000000
4;200;111;1900000000
3;96;72;375000000
4;216;219;3999999999
3;275;200;3400000000
3;54;61;467000000
3;270;124;1500000000
3;104;124;1800000000
3;54;74;577000000
7;300;893;27000000000
3;100;70;650000000
4;177;679;22000000000
3;150;113;1450000000
4;150;144;1600000000
2;72;100;875000000
7;500;390;11000000000
3;360;150;3500000000
3;125;162;1950000000
3;54;68;742000000
3;120;90;1850000000
3;360;150;3500000000
4;110;136;835000000
4;300;360;7500000000
3;80;92;550000000
0;1300;689;5200000000
5;330;334;5500000000
2;45;72;850000000
4;200;190;1950000000
7;310;573;4300000000
3;95;105;200000000
4;170;146;2350000000
2;45;66;375000000
3;105;80;1300000000
2;40;60;477500000
4;130;108;950000000
2;83;72;480000000
2;75;63;725000000
3;170;91;1650000000
3;130;150;1100000000
5;600;741;9500000000
2;45;72;586750000
3;120;140;950000000
3;160;128;2200000000
4;88;144;900000000
3;160;140;1900000000
4;120;153;1800000000
5;176;120;3450000000
3;270;242;2950000000
4;200;200;2700000000
7;1000;892;38000000000
3;55;102;699500000
4;500;476;8800000000
4;97;162;1850000000
7;140;80;600000000
4;149;63;1550000000
6;600;1389;8700000000
2;38;72;565000000
6;400;330;3200000000
5;400;500;11250000000
3;120;128;850000000
3;170;111;2800000000
3;134;100;2345000000
4;300;120;3200000000
2;70;96;850000000
3;54;51;623950000
